Pipeline,Imputation,Outlier_Detection,Feature_Encoding,F1_Mean,F1_Std,Accuracy_Mean,Accuracy_Std,Avg_Outliers_Removed
GlobalMeanModeImputer+NoOutlier+TargetEncoder,GlobalMeanModeImputer,NoOutlier,TargetEncoder,0.5993460209953184,0.012030151737877127,0.824472232422783,0.003833841851439948,0.0
GlobalMeanModeImputer+LOF_k20_c0.01+OrdinalEncoder,GlobalMeanModeImputer,LOF_k20_c0.01,OrdinalEncoder,0.5985374721931281,0.01260295238057639,0.8184828075150655,0.004782630019032038,87.0
GlobalMedianModeImputer+LOF_k20_c0.10+TargetEncoder,GlobalMedianModeImputer,LOF_k20_c0.10,TargetEncoder,0.5974519058755541,0.013174825441782707,0.819589137924081,0.006070612293282425,869.0
GlobalMedianModeImputer+LOF_k20_c0.01+OrdinalEncoder,GlobalMedianModeImputer,LOF_k20_c0.01,OrdinalEncoder,0.5967055401038827,0.013095604425251685,0.8171009133806122,0.004888712512971527,87.0
GlobalMedianModeImputer+IsoForest_0.05+TargetEncoder,GlobalMedianModeImputer,IsoForest_0.05,TargetEncoder,0.5963842854816674,0.016488528573048472,0.8206938551114714,0.005389650108159862,435.0
GlobalMedianModeImputer+NoOutlier+OrdinalEncoder,GlobalMedianModeImputer,NoOutlier,OrdinalEncoder,0.5952252911195495,0.013846677988151368,0.8176537389595143,0.005404353131178318,0.0
GlobalMeanModeImputer+NoOutlier+OrdinalEncoder,GlobalMeanModeImputer,NoOutlier,OrdinalEncoder,0.5939147422660916,0.012251412475116304,0.8172852027246466,0.004788487197368102,0.0
GlobalMeanModeImputer+LOF_k20_c0.10+TargetEncoder,GlobalMeanModeImputer,LOF_k20_c0.10,TargetEncoder,0.5933599667238654,0.009142936841278216,0.8189443587125643,0.006232943516650149,869.0
GlobalMedianModeImputer+IsoForest_0.10+OrdinalEncoder,GlobalMedianModeImputer,IsoForest_0.10,OrdinalEncoder,0.5933417919583708,0.011530573279953965,0.8128621735614203,0.004224066507311477,869.0
GlobalMeanModeImputer+IsoForest_0.05+TargetEncoder,GlobalMeanModeImputer,IsoForest_0.05,TargetEncoder,0.5930961676769737,0.009762664818890304,0.824564950213009,0.0032329520703723662,435.0
GlobalMedianModeImputer+IsoForest_0.10+TargetEncoder,GlobalMedianModeImputer,IsoForest_0.10,TargetEncoder,0.5925800204738302,0.022572869207683924,0.815349549040876,0.009152589676651106,869.0
GlobalMeanModeImputer+IsoForest_0.05+OrdinalEncoder,GlobalMeanModeImputer,IsoForest_0.05,OrdinalEncoder,0.5917205714295803,0.019200426258941826,0.8131393080552826,0.007338707541383442,435.0
GlobalMeanModeImputer+IsoForest_0.01+OrdinalEncoder,GlobalMeanModeImputer,IsoForest_0.01,OrdinalEncoder,0.5910155681809919,0.010035371722730134,0.8152577652210645,0.004909761959342849,87.0
GlobalMedianModeImputer+LOF_k20_c0.01+TargetEncoder,GlobalMedianModeImputer,LOF_k20_c0.01,TargetEncoder,0.5908148348752581,0.016044360127152733,0.8184827650618649,0.002818563560905065,87.0
GlobalMedianModeImputer+IsoForest_0.01+TargetEncoder,GlobalMedianModeImputer,IsoForest_0.01,TargetEncoder,0.5896636809841359,0.02182887787969866,0.819589010564479,0.0028804468499374247,87.0
GlobalMedianModeImputer+IsoForest_0.05+OrdinalEncoder,GlobalMedianModeImputer,IsoForest_0.05,OrdinalEncoder,0.5895254911279528,0.01895433371086808,0.8112956080041265,0.009430737728910867,435.0
GlobalMeanModeImputer+IsoForest_0.10+OrdinalEncoder,GlobalMeanModeImputer,IsoForest_0.10,OrdinalEncoder,0.5887508086544528,0.017777773555929917,0.8116635074409848,0.007411211518927051,869.0
GlobalMedianModeImputer+IsoForest_0.01+OrdinalEncoder,GlobalMedianModeImputer,IsoForest_0.01,OrdinalEncoder,0.5886923737424465,0.010935320089831849,0.8152575954082618,0.0057959675536087005,87.0
GlobalMeanModeImputer+IsoForest_0.01+TargetEncoder,GlobalMeanModeImputer,IsoForest_0.01,TargetEncoder,0.5879840918484469,0.015210426849547603,0.8206025807300676,0.0021540718636389455,87.0
GlobalMedianModeImputer+NoOutlier+TargetEncoder,GlobalMedianModeImputer,NoOutlier,TargetEncoder,0.587505082037221,0.01676666312987762,0.8221689340213582,0.0032212099206295848,0.0
ClassSpecificImputer+LOF_k20_c0.01+TargetEncoder,ClassSpecificImputer,LOF_k20_c0.01,TargetEncoder,0.5873480923878907,0.026146312949460234,0.8016200565901164,0.010416500264927644,87.0
GlobalMeanModeImputer+LOF_k20_c0.01+TargetEncoder,GlobalMeanModeImputer,LOF_k20_c0.01,TargetEncoder,0.5872871882077074,0.012080179535413522,0.8193121732430212,0.0027229283207838326,87.0
ClassSpecificImputer+LOF_k20_c0.05+TargetEncoder,ClassSpecificImputer,LOF_k20_c0.05,TargetEncoder,0.5854079179776233,0.012254608842433313,0.8008836633715907,0.009349743566864212,435.0
GlobalMedianModeImputer+LOF_k20_c0.10+OrdinalEncoder,GlobalMedianModeImputer,LOF_k20_c0.10,OrdinalEncoder,0.584977057924947,0.020526890157755804,0.8122181585075152,0.0055592709977022115,869.0
GlobalMedianModeImputer+LOF_k20_c0.05+TargetEncoder,GlobalMedianModeImputer,LOF_k20_c0.05,TargetEncoder,0.5848791606092136,0.016540480939337816,0.8175608938096867,0.006499834193569235,435.0
GlobalMedianModeImputer+LOF_k20_c0.05+OrdinalEncoder,GlobalMedianModeImputer,LOF_k20_c0.05,OrdinalEncoder,0.5847342451769804,0.027114680324256193,0.8160868337766155,0.007469164442911404,435.0
GlobalMeanModeImputer+IsoForest_0.10+TargetEncoder,GlobalMeanModeImputer,IsoForest_0.10,TargetEncoder,0.58467055213163,0.01638556505135491,0.816916708942979,0.006179936412335108,869.0
ClassSpecificImputer+IsoForest_0.10+TargetEncoder,ClassSpecificImputer,IsoForest_0.10,TargetEncoder,0.5839520431208213,0.023884921244381584,0.7980279214700695,0.009828984343498418,869.0
GlobalMeanModeImputer+LOF_k20_c0.05+TargetEncoder,GlobalMeanModeImputer,LOF_k20_c0.05,TargetEncoder,0.582427556640333,0.01859214099175209,0.8183904718036455,0.004188674232041473,435.0
ClassSpecificImputer+NoOutlier+TargetEncoder,ClassSpecificImputer,NoOutlier,TargetEncoder,0.5819933167783007,0.026549770260351203,0.7982109372180842,0.01061909725047066,0.0
ClassSpecificImputer+LOF_k20_c0.10+TargetEncoder,ClassSpecificImputer,LOF_k20_c0.10,TargetEncoder,0.5814305319819468,0.021573837024133676,0.7991323414850553,0.010803534504723782,869.0
GlobalMeanModeImputer+LOF_k20_c0.10+OrdinalEncoder,GlobalMeanModeImputer,LOF_k20_c0.10,OrdinalEncoder,0.5796654000913753,0.028024329268561687,0.8120338691634809,0.00582331359369176,869.0
ClassSpecificImputer+LOF_k20_c0.05+OrdinalEncoder,ClassSpecificImputer,LOF_k20_c0.05,OrdinalEncoder,0.5784691792767414,0.024289425393110426,0.7945255324162026,0.009202991735752153,435.0
ClassSpecificImputer+IsoForest_0.01+TargetEncoder,ClassSpecificImputer,IsoForest_0.01,TargetEncoder,0.5781843898334784,0.022020703144771437,0.7980274120316615,0.007632611460179245,87.0
ClassSpecificImputer+IsoForest_0.05+TargetEncoder,ClassSpecificImputer,IsoForest_0.05,TargetEncoder,0.5781736837682965,0.0194419516351601,0.7992250592752814,0.0064568420179373755,435.0
ClassSpecificImputer+IsoForest_0.01+OrdinalEncoder,ClassSpecificImputer,IsoForest_0.01,OrdinalEncoder,0.5776568148530192,0.015698256531514097,0.8004239376617202,0.0068875386422234414,87.0
GlobalMeanModeImputer+LOF_k20_c0.05+OrdinalEncoder,GlobalMeanModeImputer,LOF_k20_c0.05,OrdinalEncoder,0.5762043814905979,0.009886719874343326,0.8127702623820067,0.003427886037169395,435.0
ClassSpecificImputer+LOF_k20_c0.01+OrdinalEncoder,ClassSpecificImputer,LOF_k20_c0.01,OrdinalEncoder,0.573911562859857,0.022499678969551695,0.7989486889390308,0.0076356576824639965,87.0
